WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1789858688.954527  927135 cpu_feature_guard.cc:227] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Datasets: dataset
Models: velocity_threshold, extension_threshold, random_forest, lstm, gru

=== dataset: 69,277 frames ===
[  1%] dataset 1/135 · fold01_P001 random_forest · 11s elapsed, ~26m39s left
[  1%] dataset 2/135 · fold01_P001 velocity_threshold · 13s elapsed, ~14m27s left
[  2%] dataset 3/135 · fold01_P001 extension_threshold · 14s elapsed, ~10m20s left
[  3%] dataset 4/135 · fold02_P002 random_forest · 27s elapsed, ~15m04s left
[  4%] dataset 5/135 · fold02_P002 velocity_threshold · 28s elapsed, ~12m27s left
[  4%] dataset 6/135 · fold02_P002 extension_threshold · 29s elapsed, ~10m40s left
[  5%] dataset 7/135 · fold03_P003 random_forest · 41s elapsed, ~12m47s left
[  6%] dataset 8/135 · fold03_P003 velocity_threshold · 43s elapsed, ~11m23s left
[  7%] dataset 9/135 · fold03_P003 extension_threshold · 44s elapsed, ~10m17s left
[  7%] dataset 10/135 · fold04_P004 random_forest · 58s elapsed, ~12m05s left
[  8%] dataset 11/135 · fold04_P004 velocity_threshold · 59s elapsed, ~11m06s left
[  9%] dataset 12/135 · fold04_P004 extension_threshold · 1m00s elapsed, ~10m17s left
[ 10%] dataset 13/135 · fold05_P005 random_forest · 1m12s elapsed, ~11m17s left
[ 10%] dataset 14/135 · fold05_P005 velocity_threshold · 1m13s elapsed, ~10m32s left
[ 11%] dataset 15/135 · fold05_P005 extension_threshold · 1m14s elapsed, ~9m54s left
[ 12%] dataset 16/135 · fold06_P006 random_forest · 1m25s elapsed, ~10m38s left
[ 13%] dataset 17/135 · fold06_P006 velocity_threshold · 1m28s elapsed, ~10m14s left
[ 13%] dataset 18/135 · fold06_P006 extension_threshold · 1m29s elapsed, ~9m42s left
[ 14%] dataset 19/135 · fold07_P007 random_forest · 1m41s elapsed, ~10m19s left
[ 15%] dataset 20/135 · fold07_P007 velocity_threshold · 1m42s elapsed, ~9m49s left
[ 16%] dataset 21/135 · fold07_P007 extension_threshold · 1m43s elapsed, ~9m22s left
[ 16%] dataset 22/135 · fold08_P008 random_forest · 1m54s elapsed, ~9m49s left
[ 17%] dataset 23/135 · fold08_P008 velocity_threshold · 1m55s elapsed, ~9m24s left
[ 18%] dataset 24/135 · fold08_P008 extension_threshold · 1m56s elapsed, ~9m00s left
[ 19%] dataset 25/135 · fold09_P009 random_forest · 2m09s elapsed, ~9m31s left
[ 19%] dataset 26/135 · fold09_P009 velocity_threshold · 2m10s elapsed, ~9m08s left
[ 20%] dataset 27/135 · fold09_P009 extension_threshold · 2m11s elapsed, ~8m47s left
[ 21%] dataset 28/135 · fold10_P010 random_forest · 2m21s elapsed, ~9m00s left
[ 21%] dataset 29/135 · fold10_P010 velocity_threshold · 2m22s elapsed, ~8m40s left
[ 22%] dataset 30/135 · fold10_P010 extension_threshold · 2m23s elapsed, ~8m22s left
[ 23%] dataset 31/135 · fold11_P011 random_forest · 2m36s elapsed, ~8m44s left
[ 24%] dataset 32/135 · fold11_P011 velocity_threshold · 2m37s elapsed, ~8m27s left
[ 24%] dataset 33/135 · fold11_P011 extension_threshold · 2m38s elapsed, ~8m10s left
[ 25%] dataset 34/135 · fold12_P013 random_forest · 2m49s elapsed, ~8m23s left
[ 26%] dataset 35/135 · fold12_P013 velocity_threshold · 2m50s elapsed, ~8m07s left
[ 27%] dataset 36/135 · fold12_P013 extension_threshold · 2m51s elapsed, ~7m51s left
[ 27%] dataset 37/135 · fold13_P014 random_forest · 3m03s elapsed, ~8m06s left
[ 28%] dataset 38/135 · fold13_P014 velocity_threshold · 3m04s elapsed, ~7m51s left
[ 29%] dataset 39/135 · fold13_P014 extension_threshold · 3m05s elapsed, ~7m37s left
